title,source,region_score,region_label,resonance_score,resonance_label,llm_total,web_resonance,final_score,kept
"DATA DIVE: Fuel switching keeps support for EU carbon in face of looming recession, political intervention risks",Carbon Pulse,10,About Global / World / developed countries only,5,Very local or minor news,15,8,23,
Super pollutants must be mitigated as a part of CDR efforts for consistent climate impacts -report,Carbon Pulse,20,About Global South / developing countries,10,Notable but niche news,30,6,36,
Austria targets carbon cost pass-through in power prices,Carbon Pulse,10,Global / World / developed countries only,5,Very local or minor news,15,5,20,
Middle East conflict could reshape region's CCUS outlook -analysts,Carbon Pulse,10,Global / World / developed countries only,5,Very local or minor news,15,6,21,
CDR MONTHLY DATA: Investment falls but retirements edge up with market showing signs of maturity,Carbon Pulse,10,About Africa continent-wide,10,Notable but niche news,20,8,28,
VCM Report: Voluntary carbon prices slip lower as buying appetite dries up amid oil spikes,Carbon Pulse,10,About Africa continent-wide,10,Notable but niche news,20,5,25,
"FEATURE: A few design choices could define Colombian ETS, but guiding objectives unclear",Carbon Pulse,10,Global / World / developed countries only,5,Very local or minor news,15,5,20,
France seeks EU CBAM derogation for its overseas territories,Carbon Pulse,10,Global / World / developed countries only,5,Very local or minor news,15,6,21,
FEATURE: Global carbon price for shipping faces hammer blows from counter proposals,Carbon Pulse,10,Global / World / developed countries only,5,Very local or minor news,15,8,23,
"Canadian platform, Indigenous cooperative launch alliance to advance carbon credit pathways tied to oil, gas",Carbon Pulse,10,Global / World / developed countries only,5,Very local or minor news,15,5,20,
Success of EU's ETS2 hinges on complementary policies to ensure social fairness -EEA,Carbon Pulse,10,Global / World / developed countries only,5,Very local or minor news,15,6,21,
"Carbon registry updates Article 6.2 procedures, methodologies as it submits CORSIA application",Carbon Pulse,10,About Africa continent-wide,10,Notable but niche news,20,5,25,
"Energy storage capacity rose nearly 50% in 2025, but financing pressures mount -report",Carbon Pulse,10,About Africa continent-wide,10,Notable but niche news,20,6,26,
"Paris Agreement reporting framework could help align biodiversity, climate plans -study",Carbon Pulse,10,About Africa continent-wide,10,Notable but niche news,20,8,28,
"California climate disclosure rule could reorder corporate carbon rankings, redirect capital -study",Carbon Pulse,10,Global / World / developed countries only,5,Very local or minor news,15,5,20,
The US’s critical minerals club threatens an equitable clean energy transition,Climate Change News,10,Global / World / developed countries only,5,Very local or minor news,15,5,20,
Why women’s leadership is central to unlocking the global phaseout of fossil fuels,Climate Change News,10,Global / World / developed countries only,5,Very local or minor news,15,8,23,
New summit in Colombia seeks to revive stalled UN talks on fossil fuel transition,Climate Change News,10,Global / World / developed countries only,5,Very local or minor news,15,6,21,
Deep divisions persist as plastics treaty talks restart at informal meeting,Climate Change News,10,Global / World / developed countries only,5,Very local or minor news,15,8,23,
How women transformed a Vanuatu community with off-grid solar,Climate Change News,10,About Global South / developing countries,5,Very local or minor news,15,5,20,
South African rare earths project aims to rival Chinese with low-cost model,Climate Change News,10,About Africa continent-wide,10,Notable but niche news,20,5,25,
"China eases climate target but clean energy could still cut emissions, experts say",Climate Change News,10,Global / World / developed countries only,5,Very local or minor news,15,8,23,
Gulf oil and gas crisis sparks calls for renewables investment,Climate Change News,10,Global / World / developed countries only,10,Notable but niche news,20,8,28,
Battery passport plan aims to clean up the industry powering clean energy,Climate Change News,10,About Africa continent-wide,10,Notable but niche news,20,8,28,
Rush for critical minerals tests Europe’s resolve to protect nature,Climate Change News,10,Global / World / developed countries only,10,Notable but niche news,20,8,28,
Argentina’s pioneering glacier law on the line as Milei bets on copper rush,Climate Change News,10,Global / World / developed countries only,5,Very local or minor news,15,5,20,
China maximises battery recycling to shore up critical mineral supplies,Climate Change News,10,Global / World / developed countries only,5,Very local or minor news,15,5,20,
Green groups sue EU over inclusion of Portuguese lithium mine on priority list,Climate Change News,10,Global / World / developed countries only,5,Very local or minor news,15,5,20,
‘America needs you’: US seeks trade alliance to break China’s critical mineral dominance,Climate Change News,10,Global / World / developed countries only,5,Very local or minor news,15,8,23,
West Africa’s first lithium mine awaits go-ahead as Ghana seeks better deal,Climate Change News,40,About West Africa or Francophone Africa,10,Notable but niche news,50,10,60,
"At ‘Davos of mining’, Saudi Arabia shapes new narrative on minerals",Climate Change News,10,Global / World / developed countries only,5,Very local or minor news,15,8,23,
Outdated geological data limits Africa’s push to benefit from its mineral wealth,Climate Change News,30,About Africa continent-wide,10,Notable but niche news,40,8,48,
"Push for global minerals deal meets opposition, more talks agreed",Climate Change News,10,About Africa continent-wide,10,Notable but niche news,20,6,26,
What is Sustainable Aviation Fuel (SAF)?,Climate Change News,10,Global / World / developed countries only,5,Very local or minor news,15,8,23,
What does it take to make clean energy technologies?,Climate Change News,10,About Africa continent-wide,10,Notable but niche news,20,5,25,
How green are batteries for electric vehicles?,Climate Change News,10,Global / World / developed countries only,5,Very local or minor news,15,8,23,
Why the world is racing to mine critical minerals,Climate Change News,10,Global / World / developed countries only,10,Notable but niche news,20,5,25,
Middle East crisis increases Southeast Asia’s coal risk,Climate Change News,10,Global / World / developed countries only,5,Very local or minor news,15,6,21,
Africa’s mineral wealth can make it an architect of a more just energy transition,Climate Change News,30,About Africa continent-wide,10,Notable but niche news,40,5,45,
Curbing methane is the fastest way to slow warming – but we’re off the pace,Climate Change News,10,About Africa continent-wide,10,Notable but niche news,20,10,30,
There is hope for Venezuela’s future – and it isn’t based on oil,Climate Change News,10,Global / World / developed countries only,5,Very local or minor news,15,8,23,
What we need to see in the roadmap to transition away from fossil fuels,Climate Change News,10,Global / World / developed countries only,5,Very local or minor news,15,8,23,
"As China builds the future, Trump’s repeal of climate finding is self-inflicted wound",Climate Change News,10,Global / World / developed countries only,5,Very local or minor news,15,10,25,
"The more Europe relies on the US for energy, the more it’s vulnerable to pressure by Trump",Climate Change News,10,Global / World / developed countries only,5,Very local or minor news,15,6,21,
Why cutting climate journalism is a risk we can’t afford,Climate Change News,10,Global / World / developed countries only,5,Very local or minor news,15,6,21,
The EU should partner with Global South to protect carbon-storing wetlands,Climate Change News,20,About Global South / developing countries,10,Notable but niche news,30,5,35,
"EU carbon credits could supercharge world’s clean cooking push, France says",Climate Change News,10,Global / World / developed countries only,15,Significant policy or market news,25,8,33,
UN’s new carbon market delivers first credits through Myanmar cookstove project,Climate Change News,10,Global / World / developed countries only,5,Very local or minor news,15,5,20,
Nine of our best climate stories from 2025,Climate Change News,10,Global / World / developed countries only,5,Very local or minor news,15,5,20,
“House of cards”: Verra used junk carbon credits to fix Shell’s offsetting scandal,Climate Change News,10,Global / World / developed countries only,15,Significant policy or market news,25,8,33,
Carbon market supporters risk cheating the nature they wish to protect,Climate Change News,10,Global / World / developed countries only,5,Very local or minor news,15,6,21,
EU’s new climate target lines up multibillion-dollar boost for carbon markets,Climate Change News,0,API error,0,API error,0,8,8,
Is “hard-to-abate” really that hard – or is it a justification for delay?,Climate Change News,10,About Africa continent-wide,5,Notable but niche news,15,8,23,
Zimbabwe forest carbon megaproject generated millions of junk credits,Climate Change News,10,About Africa continent-wide,10,Notable but niche news,20,5,25,
Will pricing emissions from flying affect tourism? Not if it’s done right,Climate Change News,10,Global / World / developed countries only,5,Very local or minor news,15,5,20,
"As governments bet on carbon trading, Japan’s early scheme spotlights pitfalls",Climate Change News,0,API error,0,API error,0,5,5,
How Belém launched the Just Transition mechanism,Climate Change News,10,About Africa continent-wide,5,Notable but niche news,15,5,20,
COP30: Spain’s unions say just transition means renewing communities beyond jobs,Climate Change News,10,Global / World / developed countries only,5,Very local or minor news,15,5,20,
"“Water is worth more than lithium,” Indigenous Argentine community tells COP30",Climate Change News,10,Global / World / developed countries only,5,Very local or minor news,15,10,25,
A just transition for renewables: Why COP30 must put people before power,Climate Change News,0,API error,0,API error,0,5,5,
COP30: Brazil is drying up despite its rich natural resources,Climate Change News,10,Global / World / developed countries only,5,Very local or minor news,15,5,20,
"For Indian women workers, a just transition means surviving climate impacts with dignity",Climate Change News,10,Global / World / developed countries only,5,Very local or minor news,15,5,20,
Hydrogen beyond the hype: The green fuel’s narrow but crucial role in a decarbonized economy,Climate Change News,0,API error,0,API error,0,5,5,
How Vanuatu is facing up to rising climate risks,Climate Change News,10,Global / World / developed countries only,5,Very local or minor news,15,8,23,
"Without robust action, new EU carbon pricing plan could leave vulnerable people behind",Climate Change News,10,Global / World / developed countries only,15,Significant policy or market news,25,5,30,
Support grows for COP30 ‘just transition’ talks to address critical minerals,Climate Change News,10,About Africa continent-wide,15,Significant policy or market news,25,15,40,
Qcells resumes normal US solar module production after UFLPA detainments,PV Tech,0,API error,0,API error,0,8,8,
Australia and Canada establish five-pillar clean energy partnership framework,PV Tech,10,Global / World / developed countries only,5,Very local or minor news,15,8,23,
