title,source,region_score,region_label,resonance_score,resonance_label,llm_total,web_resonance,final_score,kept
West Africa’s first lithium mine awaits go-ahead as Ghana seeks better deal,Climate Change News,40,About West Africa or Francophone Africa,10,Notable but niche news,50,20,70,
Outdated geological data limits Africa’s push to benefit from its mineral wealth,Climate Change News,30,About Africa continent-wide,10,Notable but niche news,40,16,56,
Support grows for COP30 ‘just transition’ talks to address critical minerals,Climate Change News,10,About Africa continent-wide,15,Significant policy or market news,25,30,55,
Africa’s mineral wealth can make it an architect of a more just energy transition,Climate Change News,30,About Africa continent-wide,10,Notable but niche news,40,10,50,
Super pollutants must be mitigated as a part of CDR efforts for consistent climate impacts -report,Carbon Pulse,20,About Global South / developing countries,10,Notable but niche news,30,12,42,
"EU carbon credits could supercharge world’s clean cooking push, France says",Climate Change News,10,Global / World / developed countries only,15,Significant policy or market news,25,16,41,
“House of cards”: Verra used junk carbon credits to fix Shell’s offsetting scandal,Climate Change News,10,Global / World / developed countries only,15,Significant policy or market news,25,16,41,
Curbing methane is the fastest way to slow warming – but we’re off the pace,Climate Change News,10,About Africa continent-wide,10,Notable but niche news,20,20,40,
The EU should partner with Global South to protect carbon-storing wetlands,Climate Change News,20,About Global South / developing countries,10,Notable but niche news,30,10,40,
Gulf oil and gas crisis sparks calls for renewables investment,Climate Change News,10,Global / World / developed countries only,10,Notable but niche news,20,16,36,
"Polysilicon prices plunge, with maximum decline exceeding 12%",PV Tech,10,About Africa continent-wide,10,Notable but niche news,20,16,36,
Battery passport plan aims to clean up the industry powering clean energy,Climate Change News,10,About Africa continent-wide,10,Notable but niche news,20,16,36,
CDR MONTHLY DATA: Investment falls but retirements edge up with market showing signs of maturity,Carbon Pulse,10,About Africa continent-wide,10,Notable but niche news,20,16,36,
Rush for critical minerals tests Europe’s resolve to protect nature,Climate Change News,10,Global / World / developed countries only,10,Notable but niche news,20,16,36,
"Paris Agreement reporting framework could help align biodiversity, climate plans -study",Carbon Pulse,10,About Africa continent-wide,10,Notable but niche news,20,16,36,
Zelestra begins construction on 441MWdc solar portfolio in Texas,PV Tech,10,Global / World / developed countries only,5,Very local or minor news,15,20,35,
"As China builds the future, Trump’s repeal of climate finding is self-inflicted wound",Climate Change News,10,Global / World / developed countries only,5,Very local or minor news,15,20,35,
"“Water is worth more than lithium,” Indigenous Argentine community tells COP30",Climate Change News,10,Global / World / developed countries only,5,Very local or minor news,15,20,35,
Hanjung America to build ESS manufacturing facility in Indiana to support StarPlus Energy,PV Tech,10,Global / World / developed countries only,5,Very local or minor news,15,20,35,
"Without robust action, new EU carbon pricing plan could leave vulnerable people behind",Climate Change News,10,Global / World / developed countries only,15,Significant policy or market news,25,10,35,
"Push for global minerals deal meets opposition, more talks agreed",Climate Change News,10,About Africa continent-wide,10,Notable but niche news,20,12,32,
Lyra Energy secures financing for 255MW PV project in South Africa,PV Tech,10,Global / World / developed countries only,10,Notable but niche news,20,12,32,
